question,answer,prediction
What established a trading post on the island in 1819?,British East India Company ,Sir Thomas Stamford Raffles
What used Singapore as a strategic trading post along the spice route?,British,The British East India Company
What became one of the most important commercial and military centres of the British Empire?,Singapore,Quebec
"Who boasted a sizeable community of 100,000 by 1869?",British India office,Canadiens
How do reservoirs and water relate?,"By 2001, there were 19 raw water reservoirs, 9 treatment works and 14 storage or service reservoirs locally to serve domestic needs. ",Reservoirs collect and store water.
Is it true that singapore has several long - standing disputes with malaysia?,Yes,Yes.
Has Singapore Changi Airport a network of 81 airlines connecting Singapore to 185 cities in 58 countries ?,Yes,Yes.
Has Singapore a network of reservoirs and water catchment areas ?,Yes,Yes.
"Has Urbanization eliminated many areas of former primary rainforest , with the only remaining area of primary rainforest being Bukit Timah Nature Reserve ?",Yes,Yes.
"Does the economy not depend heavily on exports refining imported goods , especially in manufacturing ?",No,No.
"Is singapore -LRB- ; (: ; , -RRB- , officially the republic of singapore -LRB- ; (: ; , -RRB- , an island nation located at the southern tip of the malay peninsula?",Yes,Yes
Is singapore the 17th wealthiest country in the world in terms of gdp per capita?,No,Yes
Was Thedore Roosevelt  a member of the Republican Party?,Yes,Yes.
Does Theodore Roosevelt have a brother?,Yes,Yes.
Did Theodore Roosevelt go to Harvard?,Yes,Yes.
Where was Theodore Roosevelt born?,28 East 20th Street in the modern-day Gramercy section of New York City,"28 East 20th Street, New York City"
What did Roosevelt do to improve his physical condition?,Roosevelt took up exercise,He took up exercise and boxing.
Why did Roosevelt start Boxing lessons?,To deal with bullies,To deal with bullies.
What was the nickname of Theodore Roosevelt's sister Anna?,Bamie as a child and Bye as an adult,Bamie
What was Roosevelt's justification for supporting desegregation of schools in New York?,Noting that his children had been educated with other races and there was nothing wrong with it,His children had been educated with other races and there was nothing wrong with it.
How did newspapers respond to Roosevelt inviting Brooker T. Washington to dinner at the White House?,mixing of the races on social occassions,No information provided.
Did Theodore Roosevelt study Judo?,No,No.
Did Roosevelt receive a Medal of Honor?,yes,No.
Did Roosevelt study biology?,yes,Yes.
Where was Theodore Roosevelt from?,Gramercy section of New York City,New York
Who was Roosevelt's presidential hero?,Lincoln was Roosevelt's presidential hero.,William McKinley
When did Roosevelt die?,"On January 6, 1919, Roosevelt died in his sleep.","January 6, 1919"
Who helped to fund Roosevelt's African safari?,Financed by Andrew Carnegie and his own proposed writings,Andrew Carnegie
Did Roosevelt support racial integration in schools?,yes,No.
Was Roosevelt's family rich?,yes,Yes.
Are turtles ectothermic?,Yes,Yes.
Does the mother care for the young?,No,Yes.
Are turtles pets?,Yes,Yes.
What shape are the eggs of the larest species of turtle?,Spherical,Spherical
How often do turtles breed?,Every few years or more,Every few years or more
What do all turtles and tortoises breathe?,air,Air
How do turtles reproduce?,They lay eggs,Egg-laying
What has been discovered about turtles organs?,They do not gradually break down or become less efficient over time,Turtles' organs do not gradually break down or become less efficient over time.
What suborder of turtle draws its head into its shell?,Pleurodira,Pleurodira
Do sea turtles lay eggs on dry sandy beaches?,Yes,Yes.
Are Pleurodira known as side-necked turtles?,Yes,Yes.
Are turtles a part of the Flying Spaghetti Monster?,*shrug*,No.
How many suborders are turtles divided into?,Three.,Three
Name a turtle popularly kept as a pet.,Russian Tortoises,Russian Tortoise
Name four related articles for the article on turtles.,"Triassic, Ernst Haeckel, Kunstformen der Natur, Animal","Turtles of the World: Extensive information on all known turtles, tortoises and terrapins, including key and quiz. A website on all pet turtle species including a guide on caring for your turtles. Encyclopedia of Turtles. T.F.H. Publications."
"If a turtle egg was kept warm, what would likely hatch?",A female turtle.,Female
What do turles use to breathe in the water?,Papillae,Papillae
Why are side-necked turtles called side-necked turtles?,Because of the way they withdraw their heads into their shells.,Because they withdraw their heads into their shells.
Do turtles lay eggs underwater?,No,No.
Are turtle eggs leathery and soft?,Yes,Yes.
Are turtles being examined for longevity genes?,Yes,Yes.
What suborder of turtles is extinct?,Paracryptodira,Paracryptodira
What do turtle eggs preared to eat consist mainly of?,Yolk,Yolk
Where do sea turtles lay their eggs?,Holes Dug into the Mud or Sand,On dry sandy beaches.
What is the smallest suborder of turtles?,Pleurodira,Pleurodira
What are turtle eggs covered in when they incubate?,Mud or Sand,Mud or sand
What type of creatures breathe air and don't lay eggs underwater?,Amniotes,Reptiles and birds
What are deposited in holes dug into mud or sand?,eggs,Water
What sort of turtles are ectothermic?,all of them,Reptiles
Are the largest turtles aquatic?,yes,Yes.
Is aquatic respiration in Australian freshwater turtles being studied?,yes,Yes.
"These projections , called papillae , have what?",a rich blood supply,A rich blood supply
The eggs of the largest species are what?,spherical,Spherical
Has this inspired genetic researchers to begin examining the turtle genome for longevity genes ?,yes,Yes.
Can turtles take many years to reach breeding age ?,yes,Yes.
Are Immature sea turtles not cared for by the adults ?,yes,Yes.
"Are the Pleurodira sometimes known as the side-necked turtles , a reference to the way they withdraw their heads into their shells ?",yes,Yes.
"Does the Order Testudines not include both extant -LRB- living -RRB- and extinct species , the earliest known turtles being from around 215 million years ago ?",yes,No
Was Ulysses Grant a general in the American Civil War?,Yes,Yes.
Was Grant's father-in-law a Democrat?,Yes,Yes.
Did Ulysses win the Battle of Champion Hill?,Yes,Yes.
Who was Grant's brother in law?,Fred Dent,Perkins
Where was Grant born?,"Point Pleasant, Ohio","Point Pleasant, Ohio"
What was Grant's political affiliation?,Republican,Republican
"Why did Grant say ""Damn, I had nothing to do with this batte.""?",It went well.,He was not involved in the battle.
Did Horace Greenley lose in the presidential elections of 1872?,Yes,No.
Why did Grant think that war was unjust?,He thought it was designed to gain land open to slavery.,No context provided.
Who achieved international fame as the leading Union general in the American Civil War?,Grant,Ulysses S. Grant
Grant was elected president as a Republican in what year?,1868,1868
Who took a hard line that reduced violence by groups like the Ku Klux Klan?,Grant,Grant
When did he vote for democrat james buchanan?,1856,1856
"Who did President Lincoln promote of major general in the regular army, effective July 4?",Grant,Ulysses S. Grant
Was Grant elected president as a Republican?,yes,Yes.
What was from Pennsylvania?,His father,Altoona
Was it a two-sentence description that completely caught the essence of Ulysses S. Grant ?,yes,Yes.
Was Grant 's favorite brand of bourbon whiskey Old Crow ?,yes,Yes.
Had he smoked only sporadically ?,yes,No
"Did Grant & Perkins not sell harnesses , saddles , and other leather goods and purchase hides from farmers in the prosperous Galena area ?",they did,No.
Is the famous dragon gate at the entrance to the district at the corner of Grant and Bush Street ?,yes,Yes
What happened in 1865?,he accepted the surrender of Robert E. Lee,Lincoln was assassinated.
What happened in recent years?,his reputation as president has improved,The country is recovering from the last crisis.
Is Uruguay located in the northwesten part of Africa?,No.,No
Is Uruguay's capital Montevideo?,Yes.,Yes.
Does Uruguay have cold summers?,No.,No
Who founded Montevideo?,The Spanish.,The Spanish
Where is Uruguay's oldest church?,"San Carlos, Maldonado.","San Carlos, Maldonado"
Who heavily influenced the architecture and culture of Montevideo?,European immigrants.,European immigrants
What are poor neighborhoods called informally?,Cantegriles.,Cantegriles
Is uruguay's landscape mountainous?,No.,No.
What religion do most Uruguayans profess?,None.,Roman Catholic faith
Is Uruguay located in South America?,Yes. It's located in the southeastern part,Yes
Can citizens propose changes to the Constitution?,Yes. People are allowed to challenge laws.,No.
Did Uruguay host the first ever World Cup?,"Yes, in 1930.",Yes.
How many square kilometres of continental land is Uruguay?,176.215 km�� ,"176,214 square kilometres"
How much of the population is of white European descent?,88%,88%
Why was the capital of Uruguay founded?,For a military stronghold.,As a military stronghold.
How many times has Uruguay won the World Cup?,Twice. ,Two
How much is the average income of an African woman compared to a European man?,African women earns 0.65 * 0.718  = 46.67% of a European man earns in average,Not enough information.
Does Uruguay recognize same-sex civil unions?,Yes,Yes.
Does Uruguay border French Guiana?,No,No
Is Uruguay's warmest month June?,No,No
What does a citizen use to propose changes to the Constitution?,Referendum,Plebiscite
What religions are found in Uruguay?,"Roman Catholic, Protestant, Jewish, and nonprofessing.","Catholic, Protestant, Jewish"
What has Uruguay done to be competitive in agriculture?,"Labeling as ""Natural"" or ""Ecological""",Developed the commercial use of IT technologies and established premium brands.
What are the names of Uruguay's political parties?,Partido Colorado and Partido Blanco,"Partido Colorado, Partido Blanco, Frente Amplio"
Is Uruguay the smallest soverign nation in South America?,No,No
What was founded by the Spanish in the early 18th century as a military stronghold?,Montevideo,Montevideo
What has many possible meanings?,(What?),Language
How do india and latin america relate?,Uruguay exports architectural services to India and Latin America,Trade partners
What did Uruguay win in 1828?,Its independence,Independence
Is Uruguay very common?,No?,No
Is The climate in Uruguay temperate?,Yes,Yes
Is the main sport in Uruguay football ?,Yes,Yes
"Is Uruguay 's oldest church in San Carlos , Maldonado ?",Yes,Yes.
Is Uruguay a member of the Cairns Group of exporters of agricultural products ?,Yes,Yes.
Is it widely considered the most secular nation in Latin America ?,Yes,Yes.
"Is it the second smallest independent country in south america , larger only than suriname and the french overseas department of french guiana?",Yes,Yes
"Is it a constitutional democracy , where the president fulfills the roles of both head of state and head of government?",Yes,No.
Was Woodrow Wilson the thirtieth President of the United States?,no,No.
Did Woodrow Wilson create the League of Nations?,yes,Yes.
Did the U.S. join the League of Nations?,no,No
Where was the League of Nations created?,Paris,"Versailles, France"
When was Woodrow Wilson born?,"December 28, 1856","December 28, 1856"
Who was President when Wilson finished Congressional Government?,Grover Cleveland,William Howard Taft
What field did Woodrow Wilson leave law practice to study?,history and political science,History and political science
What caused Wilson to ask Congress to declare war on the Central Powers?,German began unrestricted submarine warfare,The threat to Western civilization
What was more damaging than moving students into colleges?,His confrontation with Andrew Fleming West,Confrontation with Andrew Fleming West and former President Grover Cleveland
Was Wilson a member of the Phi Kappa Psi fraternity?,yes,Yes.
Was Wilson an automobile enthusiast?,yes,No.
Did Wilson's father own slaves?,yes,Yes.
Where is Wilson buried?,He was buried in Washington National Cathedral,Washington National Cathedral
Where did Wilson attend law school?,Wilson attended law school at University of Virginia,University of Virginia
Where was Woodrow Wilson born?,"Woodrow Wilson was born in Staunton, Virginia","Staunton, Virginia"
Did Wilson support desegregation?,no,No.
Did Wilson support the committee system?,no,No
Did Wilson have any siblings?,yes,No.
What was Scots-Irish and Scottish?,His ancestry,"No, the provided context does not contain information about Scots-Irish and Scottish."
"What defended slavery, owned slaves and S08_set up a Sunday school for them?",His father,No
Who did Wilson win in 1917?,Irish Americans,No information provided.
Was Wilson awarded the 1919 Nobel Peace Prize?,Yes,No.
Was Wilson a remarkably effective writer and thinker?,Yes,Yes.
What lived in Columbia?,Wilson,British settlers
Was Wilson president of the American Political Science Association in 1910 ?,Yes,Yes.
"Did he not cast his ballot for John M. Palmer , the presidential candidate of the National Democratic Party , or Gold Democrats , a short-lived party that supported a gold standard , low tariffs , and limited government ?",Yes,No
Did Wilson not spend 1914 through the beginning of 1917 trying to keep America out of the war in Europe ?,Yes,No
"Was Wilson , a staunch opponent of antisemitism , sympathetic to the plight of Jews , especially in Poland and in France ?",Yes,Yes.
What happened in 1917?,"raised billions through Liberty loans, imposed an income tax, S08_set up the War Industries Board, promoted labor union growth, supervised agriculture and food production through the Lever Act, took over control of the railroads, and suppressed anti-war movements",Wilson announced the break in official relations with Germany.
